unique_id,account_number,name,bank,password,account_balance
100001,8358190375,buhari,XYZ Bank,buhari,15100
51528,9490345904,sankeerthana,Unilag Bank,12345678,10000
23453,4958597428,snacky,Unilag Bank,12345678,10000
60497,8780202554,revathi,Unilag Bank,11111111,18000
62528,3811078250,harshaa,Unilag Bank,12345678,10000
87704,8445171499,nihaa,Unilag Bank,12345678,7000
26590,6437952978,mickeyy,Unilag Bank,12345678,8000
20514,7427426731,snacky,Unilag Bank,12345678,10000
95642,4444085388,snacky,Unilag Bank,12345678,39800
98329,7265244313,snackyy,Unilag Bank,12345678,10000
62930,6421798212,skrubeena,Unilag Bank,12345678,9500
73839,8192857465,eshwar,Unilag Bank,123456789,10500
25746,8273661313,san,Unilag Bank,12345678,10000
61822,2871041528,shru,Unilag Bank,12345678,10000
97318,1082284698,paru,Unilag Bank,12345678,8000
12520,7803896271,sankeerthanaa,Unilag Bank,12345678,10000
27938,1782051033,lokesh,Unilag Bank,lokesh123,10000
94020,2516005910,shivaji,Unilag Bank,shivaji001,10000
21087,2303350100,shivaji,Unilag Bank,shivaji123,25000
13975,9014278845,nikhil,Unilag Bank,nikhil123,22310
71098,8477157918,praveen,Unilag Bank,praveen123,7690
89425,6121648227,praveen,Unilag Bank,9052731129,10000
42218,2637452353,praveen,Unilag Bank,9052731129,10000
97241,1311346643,praveen,Unilag Bank,9052731129,10000
22572,6199373379,praveen,Unilag Bank,9052731129,10000
38210,3780355942,praveen,Unilag Bank,9052731129,10000
86536,6657353205,praveen,Unilag Bank,9052731129,10000
66155,9294272118,praveen,Unilag Bank,9052731129,10000
76533,9189352127,praveen,Unilag Bank,9052731129,10000
25201,1260423046,praveen,Unilag Bank,9052731129,10000
77769,3051043697,praveen,Unilag Bank,9052731129,10000
